iter	Passed	Remaining
0	96	9568
1	189	9299
2	289	9358
3	387	9295
4	482	9175
5	584	9156
6	698	9280
7	798	9186
8	893	9031
9	982	8841
10	1088	8806
11	1186	8699
12	1276	8540
13	1360	8356
14	1454	8241
15	1547	8124
16	1657	8090
17	1756	8000
18	1840	7847
19	1934	7738
20	2033	7648
21	2137	7579
22	2238	7495
23	2343	7421
24	2445	7335
25	2547	7249
26	2641	7142
27	2738	7043
28	2834	6940
29	2929	6834
30	3029	6743
31	3142	6677
32	3246	6591
33	3378	6557
34	3488	6478
35	3604	6407
36	3707	6312
37	3804	6206
38	3896	6095
39	3998	5998
40	4082	5875
41	4192	5789
42	4284	5680
43	4379	5573
44	4484	5480
45	4577	5373
46	4682	5280
47	4776	5174
48	4896	5096
49	4993	4993
50	5093	4893
51	5188	4789
52	5282	4684
53	5374	4577
54	5464	4471
55	5559	4368
56	5660	4270
57	5754	4167
